"","Cash Value","Store credit","","","","","","","","","","","","","","","","","","","","","","",""
".HACK // G.U. LAST RECODE","RM30","40","","Any game that is the Chinese or Japanese version will have RM20 deducted from its trade-in price.","","","","","","","","","","","","","","8,000","","","","","","",""
"1-2 SWITCH","RM60","80","","","","","","","","","","","","","","","","7,000","","","","","","",""
"13 SENTINELS: AEGIS RIM","RM40","55","","Any game that doesn't have game case will have RM15 deducted from its trade-in price","","","","","","","","","","","","","","13,000","","","","","","",""
"1971 PROJECT HELIOS","RM25","35","","","","","","","","","","","","","","","","1,000","","","","","","",""
"30 IN 1 GAME COLLECTION","RM35","50","","","","","","","","","","","","","","","","10,000","","","","","","",""
"3D MINI GOLF","RM30","40","","Can't find your old games trade-in price here? ","","","","","","","","","","","","","","","","","","","","",""
"60 IN 1 GAME COLLECTION","RM30","40","","Contact us via email or whatsapp to get a quote, we accept all PS4, PS5, and Nintendo Switch Games!","","","","","","","","","","","","","","","","","","","","",""
"88 HEROES 98 HEROES EDITION","RM15","20","","whatsapp - ","011-54196680","","","","","","","","","","","","","2,000","","","","","","",""
"A HAT IN TIME","RM30","40","","email - ","care@g-h.store","","","","","","","","","","","","","3,000","","","","","","",""
"ABYSS OF THE SACRIFICE","RM5","10","","","","","","","","","","","","","","","","3,000","","","","","","",""
"ACE ANGLER FISHING SPIRITS","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"ACE COMBAT 7","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"ACES OF THE LUFTWAFFE : SQUADRON","RM15","20","","","","","","","","","","","","","","","","1,000","","","","","","",""
"ADAM'S VENTURE : ORIGINS","RM25","35","","","","","","","","","","","","","","","","15,000","","","","","","",""
"ADVANCE WARS 1+2: REBOOT CAMP","RM45","60","","","","","","","","","","","","","","","","7,000","","","","","","",""
"ADVENT CALENDAR","RM5","10","","","","","","","","","","","","","","","","2,000","","","","","","",""
"ADVENTURE ACADEMIA : THE FRACTURED CONTINENT","RM45","60","","","","","","","","","","","","","","","","6,000","","","","","","",""
"ADVENTURE TIME PIRATE OF THE ENCHIRIDION","RM30","40","","","","","","","","","","","","","","","","3,000","","","","","","",""
"AEW FIGHT FOREVER","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"AGATHA CHRISTIE: THE ABC MURDERS","RM50","70","","","","","","","","","","","","","","","","10,000","","","","","","",""
"AGATHA CHRISTIE - HERCULE POIROT: THE FIRST CASES","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"AI THE SOMNIUM FILES","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"AI THE SOMNIUM FILES: NIRVANA INITIATIVE","RM40","55","","","","","","","","","","","","","","","","500","","","","","","",""
"AIR MISSION : HIND","RM5","10","","","","","","","","","","","","","","","","","","","","","","",""
"AKETE ONEGAI","RM5","10","","","","","","","","","","","","","","","","","","","","","","",""
"AKIBA'S TRIP: HELLBOUND & DEBRIEFED","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"ALLIANCE ALIVE HD REMASTERED","RM20","30","","","","","","","","","","","","","","","","10,000","","","","","","",""
"AMAIRO CHOCOLATE","RM5","10","","","","","","","","","","","","","","","","","","","","","","",""
"AMERICAN NINJA WARRIOR : CHALLENGE","RM5","10","","","","","","","","","","","","","","","","4,000","","","","","","",""
"AMNESIA : LATER X CROWD","RM35","50","","","","","","","","","","","","","","","","4,000","","","","","","",""
