"","Cash Value","Store credit","","","","","","","","","","","","","","","","","","","","","","",""
"007 FIRST LIGHT","RM180","200","","","","","","","","","","","","","","","","","","","","","","",""
"3D BILLIARDS : POOL AND SNOOKER","RM20","30","","Any game that is the Chinese or Japanese version will have RM20 deducted from its trade-in price.","","","","","","","","","","","","","","13000","","","","","","",""
"3D MINI GOLF ","RM30","40","","","","","","","","","","","","","","","","7000","","","","","","",""
"ABSOLUM","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"ABSOLUTE TACTICS: DAUGHTERS OF MERCY","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"A PLAGUE TALE : INNOCENCE","RM45","60","","Any game that doesn't have game case will have RM15 deducted from its trade-in price","","","","","","","","","","","","","","4000","","","","","","",""
"A PLAGUE TALE : REQUIEM","RM55","75","","","","","","","","","","","","","","","","2000","","","","","","",""
"AEW FIGHT FOREVER","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"AI LIMIT","RM80","110","","","","","","","","","","","","","","","","","","","","","","",""
"ALAN WAKE","RM50","70","","Can't find your old games trade-in price here? ","","","","","","","","","","","","","","5000","","","","","","",""
"ALAN WAKE II ","RM85","115","","Contact us via email or whatsapp to get a quote, we accept all PS4, PS5, and Nintendo Switch Games!","","","","","","","","","","","","","","","","","","","","",""
"ALEX KIDD IN MIRACLE WORLD DX","RM30","40","","whatsapp - ","011-54196680","","","","","","","","","","","","","4000","","","","","","",""
"ALFRED HITCHOCK: VERTIGO","RM50","70","","email - ","care@g-h.store","","","","","","","","","","","","","7,000","","","","","","",""
"ALIENS: DARK DESCENT","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"ALIENS : FIRETEAM ELITE","RM55","75","","","","","","","","","","","","","","","","5000","","","","","","",""
"ALONE IN THE DARK","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"AMONG US CREWMATE","RM55","75","","","","","","","","","","","","","","","","7000","","","","","","",""
"APSULOV : END OF GODS","RM40","55","","","","","","","","","","","","","","","","15000","","","","","","",""
"ARE U SMARTER THAN A 5TH GRADER","RM15","20","","","","","","","","","","","","","","","","5000","","","","","","",""
"ARMORED CORE VI: FIRES OF RUBICON","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"ASSASSIN'S CREED BLACK FLAG RESYNCED","RM150","180","","","","","","","","","","","","","","","","","","","","","","",""
"ASSASSIN'S CREED MIRAGE","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"ASSASSIN'S CREED SHADOWS ","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"ASSASSIN'S CREED VALHALLA","RM40","55","","","","","","","","","","","","","","","","7000","","","","","","",""
"ASSETTO CORSA COMPETIZIONE","RM70","95","","","","","","","","","","","","","","","","","","","","","","",""
"ASTREA: SIX-SIDED ORACLES","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"ASTRO BOT","RM130","175","","","","","","","","","","","","","","","","","","","","","","",""
"ATELIER MARIE REMAKE: THE ALCHEMIST OF SALBURG","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"ATELIER RYZA 3: ALCHEMIST OF THE END & THE SECRET KEY","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"ATELIER RESLERIANA: THE RED ALCHEMIST & THE WHITE GUARDIAN","RM85","115","","","","","","","","","","","","","","","","","","","","","","",""
"ATELIER YUMIA","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"ATLAS FALLEN","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"ATOMFALL","RM55","75","","","","","","","","","","","","","","","","","","","","","","",""
"ATOMIC HEART","RM60","80","","","","","","","","","","","","","","","","8000","","","","","","",""
"AVATAR FRONTIERS OF PANDORA","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"BABYLONS FALL","","","","","","","","","","","","","","","","","","5000","","","","","","",""
"BACK 4 BLOOD","RM15","20","","","","","","","","","","","","","","","","5000","","","","","","",""
"BALAN WONDERWORLD","RM10","15","","","","","","","","","","","","","","","","7000","","","","","","",""
"BALDUR'S GATE 3","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"BANG-ON BALLS: CHRONICLES","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"BANISHERS: GHOSTS OF NEW EDEN","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"BARBIE PROJECT FRIENDSHIP","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"BASSMASTER FISHING 2022","RM40","55","","","","","","","","","","","","","","","","5000","","","","","","",""
"BAT BOY","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"BATTLEFIELD 2042","RM60","80","","","","","","","","","","","","","","","","15000","","","","","","",""
"BATTLEFIELD 6","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"BEYOND A STEEL SKY","RM15","20","","","","","","","","","","","","","","","","7000","","","","","","",""
"BIBI AND TINA AT THE HORSE FARM","RM10","","","","","","","","","","","","","","","","","13000","","","","","","",""
"BIOMUTANT","RM35","","","","","","","","","","","","","","","","","10000","","","","","","",""
"BLACK MYTH: WU KONG","RM125","170","","","","","","","","","","","","","","","","8000","","","","","","",""
"BLACKWIND","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"BLADE OF FIRE","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"BLAZING STRIKE","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"BLEACH REBIRTH OF SOULS","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"BORDERLANDS 3 ULTIMATE","RM40","55","","","","","","","","","","","","","","","","500","","","","","","",""
"BORDERLANDS 4","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"BRATZ: FLAUNT YOUR FASHION","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
